"FORMULARIO","Depto","Mun","Fraccion","Radio","Viv","NroHogar","PM","Zon","Tipo_viv","CantidadPersonas","PersonaMayorCuatro","Personas_temporales","CantidadCochera","Hogar_Vehículo","CantidadVehículos","Tipo_vehículo_1","Propiedad_vehículo_1","MarcaVehículo_1","Combustible_1","Gasto_combustible_1","GastoCochera_1","GastoPatente_1","GastoSeguro_1","GastosTotal_1","MarcaVehículo_2","MarcaVehículo_3","HogarMoto","CantidadMotos","HogarCiclomotor","CantidadCiclomotores","HogarBicicleta","CantidadBicicletas","Plan_social","HogarIngresos","RangoIngresos","promedio_ingreso","IngresoT1","IngresoT2","HogarGastoTotal","RangoGastoTotal","promedio_gastototal","GastoT1","GastoT2","HogarGastosAlimentos","RangoGastosAlimentos","promedio_gasto_alimentos","GastoA1","HogarGastosTransporte","RangoGastosTransporte","Ingresoagregado_pers","IngresoTotalFinal","bienestar","FEX"
1312,28,30,19,5,216,1,105,7,"Casa",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,"4000",NA,NA,NA,NA,"4000","2000","97","97","2000","300","97","2500","4000","No Pobre",43.7396297812965
1313,28,30,4,6,87,1,223,5,"Casa",5,5,0,0,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","cheni       ","Nafta / Alconafta","400","98","133","350","483","NULL        ","NULL        ","Sí","1","No",NA,"Sí","2","No","11000","97","97","11000","11000","5000","97","97","5000","5000","1800","97","97","1800","300","97","11700","11700","No Pobre",65.9117926181784
1315,28,30,4,14,1,1,226,5,"Casa",6,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"Sí","2800","97","97","2800","2800","2500","97","97","2500","2500","1500","97","97","1500","120","97","4012","4012","No Pobre",53.7207959998658
1316,28,30,4,14,71,1,226,5,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","4000","97","97","4000","4000","3000","97","97","3000","3000","1000","97","97","1000","50","97","4000","4000","No Pobre",53.7207959998658
1317,28,30,4,14,43,1,226,5,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2900","97","97","2900","2900","2000","97","97","2000","2000","1000","97","97","1000","400","97","2900","2900","No Pobre",53.7207959998658
1318,28,30,4,14,99,1,226,5,"Casa",4,4,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","chevrolet   ","Nafta / Alconafta","600","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","16000","97","97","16000","16000","12000","97","97","12000","12000","6000","97","97","6000","500","97","16000","16000","No Pobre",53.7207959998658
1319,28,30,5,11,171,1,107,4,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1600","97","97","1600","1600","900","97","97","900","900","200","97","97","200","90","97","800","1600","No Pobre",98.0987248879969
1320,28,30,12,2,68,2,315,20,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1800","97","97","1800","1800","1000","97","97","1000","1000","200","97","97","200","50","97","900","1800","No Pobre",26.3589965397924
1321,28,30,12,2,87,1,315,20,"Departamento",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1700","97","97","1700","1700","1000","97","97","1000","1000",NA,NA,NA,NA,"120","97","1700","1700","No Pobre",26.3589965397924
1322,28,30,5,11,105,1,107,4,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3800","97","97","3800","3800","1000","97","97","1000","1000","800","97","97","800","100","97","3800","3800","No Pobre",98.0987248879969
1323,28,30,6,15,17,1,151,22,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3000","97","97","3000","3000","1300","97","97","1300","1300","300","97","97","300","50","97","2000","3000","No Pobre",20.8779804073922
1324,28,30,5,11,171,2,107,4,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1800","97","97","1800","1800","1000","97","97","1000","1000","400","97","97","400","100","97","2800","2800","No Pobre",98.0987248879969
1325,28,30,12,2,58,1,315,20,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"Sí","1950","97","97","1950","1950","1000","97","97","1000","1000","300","97","97","300","200","97","1950","1950","No Pobre",26.3589965397924
1326,28,30,1,13,110,1,230,10,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,"$2611 a $3480","3045","3045","3045",NA,"$1741 a $2610","2175","2175","2175",NA,"$351 a $700","525","525","15","97","3045","3045","No Pobre",84.608811143505
1327,28,30,1,13,178,1,230,10,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","2300","97","97","2300","2300","900","97","97","900","900","800","97","97","800","300","97","2300","2300","No Pobre",84.608811143505
1328,28,30,8,9,55,1,118,22,"Departamento",3,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","1350","97","97","1350","1350","1300","97","97","1300","1300","500","97","97","500","40","97","1350","1350","No Pobre",9.36155697000446
1329,28,30,8,9,36,1,118,22,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","700","97","97","700","700","700","97","97","700","700","300","97","97","300","20","97","700","700","Pobre",9.36155697000446
1330,28,30,8,9,31,1,118,22,"Casa",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1500","97","97","1500","1500","950","97","97","950","950","750","97","97","750","30","97","1500","1500","No Pobre",9.36155697000446
1331,28,30,5,11,190,2,107,4,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","4000","97","97","4000","4000","1000","97","97","1000","1000","500","97","97","500","100","97",NA,"4000","No Pobre",98.0987248879969
1333,28,30,8,9,83,1,118,22,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","700","97","97","700","700","700","97","97","700","700","500","97","97","500","100","97","700","700","Pobre",9.36155697000446
1334,28,30,8,9,40,1,118,22,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1800","97","97","1800","1800","1800","97","97","1800","1800","600","97","97","600","150","97","1800","1800","No Pobre",9.36155697000446
1335,28,30,8,9,2,1,118,22,"Casa",8,7,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","Sí","2500","97","97","2500","2500","2000","97","97","2000","2000","1800","97","97","1800","200","97","2535","2535","No Pobre",9.36155697000446
1336,28,30,1,13,76,1,230,10,"Casa",3,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","2500","97","97","2500","2500","1200","97","97","1200","300","97","2500","2500","No Pobre",84.608811143505
1337,28,30,1,13,144,1,230,10,"Dpto. tipo casa (PH) o de pasillo",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1500","97","97","1500","1500","500","97","97","500","500","900","97","97","900","20","97","1500","1500","No Pobre",84.608811143505
1339,28,30,8,9,64,1,118,22,"Casa",7,7,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","volkswagen  ","Gasoil / Diesel","250","98","85","120","205","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","4000","97","97","4000","4000","4000","97","97","4000","4000","3500","97","97","3500","300","97","4000","4000","No Pobre",9.36155697000446
1340,28,30,4,14,239,1,226,5,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3000","97","97","3000","3000","2500","97","97","2500","2500","600","97","97","600","200","97","3000","3000","No Pobre",53.7207959998658
1341,28,30,4,6,49,1,223,5,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","2500","97","97","2500","2500","1000","97","97","1000","10","97","2500","2500","No Pobre",65.9117926181784
1342,28,30,8,9,69,1,118,22,"Casa",4,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","3","Sí","1900","97","97","1900","1900","1300","97","97","1300","1300","900","97","97","900","100","97","1900","1900","No Pobre",9.36155697000446
1343,28,30,8,9,88,1,118,22,"Casa",7,7,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1000","97","97","1000","1000","900","97","97","900","900","700","97","97","700","100","97","700","1000","Pobre",9.36155697000446
1344,28,30,8,9,74,1,118,22,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","700","97","97","700","700","500","97","97","500","500","500","97","97","500",NA,NA,"700","700","Pobre",9.36155697000446
1345,28,30,8,9,59,1,118,22,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1400","97","97","1400","1400","1000","97","97","1000","1000","800","97","97","800","100","97","1400","1400","No Pobre",9.36155697000446
1346,28,30,1,13,201,1,230,10,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"Sí",NA,"No",NA,"No","2000","97","97","2000","2000","2000","97","97","2000","2000","1000","97","97","1000",NA,NA,"500","2000","No Pobre",84.608811143505
1347,28,30,6,15,38,1,151,22,"Departamento",4,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"Sí","2200","97","97","2200","2200","2200","97","97","2200","2200","1000","97","97","1000","50","97","3820","3820","No Pobre",20.8779804073922
1348,28,30,8,9,45,1,118,22,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","700","97","97","700","700","700","97","97","700","700","600","97","97","600","100","97","200","700","Pobre",9.36155697000446
1350,28,30,12,7,61,1,248,16,"Casa",9,3,1,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1000","97","97","1000","1000",NA,NA,NA,NA,"1000","500","97","97","500",NA,NA,"1000","1000","Pobre",62.2622123521078
1351,28,30,12,7,91,1,248,16,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1300","97","97","1300","1300","600","97","97","600","600","600","97","97","600","50","97","1300","1300","Pobre",62.2622123521078
1352,28,30,4,10,307,1,208,6,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","3","No","2200","97","97","2200","2200","1500","97","97","1500","1500","1000","97","97","1000","200","97","2130","2200","No Pobre",43.2922505763231
1353,28,30,4,10,27,1,208,6,"Casa",4,4,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","palio       ","Nafta / Alconafta","130","98","27","85","102","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"180","97",NA,NA,"0",43.2922505763231
1355,28,30,4,10,254,1,208,6,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","700","97","97","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"700","700","Pobre",43.2922505763231
1357,28,30,4,10,184,1,208,6,"Casa",6,6,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1200","97","97","1200","1200","800","97","97","800","800","700","97","97","700",NA,NA,"5700","5700","No Pobre",43.2922505763231
1359,28,30,4,10,62,1,208,6,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1200","97","97","1200","1200","1200","97","97","1200","1200",NA,NA,NA,NA,NA,NA,"1700","1700","No Pobre",43.2922505763231
1360,28,30,4,10,149,1,208,6,"Casa",2,2,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","80","98","5","85","90","NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No",NA,NA,NA,NA,"600","600","97","97","600","600",NA,NA,NA,NA,NA,NA,NA,"600","Pobre",43.2922505763231
1361,28,30,4,10,44,1,208,6,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","3","No",NA,NA,NA,NA,"100","100","97","97","100","100",NA,NA,NA,NA,NA,NA,NA,"100","Indigente",43.2922505763231
1364,28,10,13,14,237,1,129,25,"Casa",7,7,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","3020","97","97","3020","3020","3020","97","97","3020","3020","1000","97","97","1000","150","97","2020","3020","No Pobre",67.7249260279563
1370,28,10,13,3,218,1,311,25,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3500","97","97","3500","3500","3500","97","97","3500","3500","1700","97","97","1700","250","97","3500","3500","No Pobre",41.5253289473684
1371,28,30,12,10,10,1,115,18,"Casa",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","1000","97","97","1000","1000","600","97","97","600","60","97","250","2500","No Pobre",62.5010861301184
1373,28,30,12,10,173,1,115,18,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","800","97","97","800","800","600","97","97","600","600","500","97","97","500","100","97","800","800","Pobre",62.5010861301184
1374,28,30,7,14,241,1,137,11,"Casa",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1600","97","97","1600","1600","1300","97","97","1300","1300","800","97","97","800",NA,NA,"1600","1600","No Pobre",66.6088420436246
1375,28,30,12,10,51,1,115,18,"Casa",6,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"Sí","4500","97","97","4500","4500","3000","97","97","3000","3000","2000","97","97","2000","150","97","4500","4500","No Pobre",62.5010861301184
1379,28,30,1,18,18,1,313,10,"Departamento",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,"3000","3000","97","97","3000","3000","700","97","97","700","400","97",NA,"3000","No Pobre",42.858427081728
1380,28,10,18,1,241,1,150,25,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","1600","97","97","1600","1600","1500","97","97","1500","1500",NA,NA,NA,NA,"150","97","700","1600","No Pobre",159.598703703704
1381,28,10,13,3,191,1,311,25,"Casa",6,6,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2800","97","97","2800","2800","1500","97","97","1500","1500",NA,NA,NA,NA,"300","97","2800","2800","No Pobre",41.5253289473684
1387,28,30,7,13,131,1,237,12,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","2000","97","97","2000","2000","2000","97","97","2000","2000",NA,"$351 a $700","525","525","50","97","2000","2000","No Pobre",43.1088381850133
1388,28,30,7,13,32,1,237,12,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","1800","97","97","1800","1800",NA,"$871 a $1740","1305","1305","1305",NA,"Menor o igual a $350","175","175","30","97","1800","1800","No Pobre",43.1088381850133
1389,28,30,7,13,210,1,237,12,"Casa",3,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","2500","97","97","2500","2500","1800","97","97","1800","1800","800","97","97","800","250","97","2500","2500","No Pobre",43.1088381850133
1390,28,30,7,13,71,1,237,12,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1500","97","97","1500","1500","1000","97","97","1000","1000","400","97","97","400",NA,NA,"1500","1500","No Pobre",43.1088381850133
1391,28,30,7,13,91,1,237,12,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","1900","97","97","1900","1900","2000","97","97","2000","2000",NA,"Menor o igual a $350","175","175",NA,NA,"1850","1900","No Pobre",43.1088381850133
1392,28,30,7,3,357,1,140,12,"Casa",5,5,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","fiat        ","Gasoil / Diesel","400","98","100","150","250","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","5000","97","97","5000","5000","5000","97","97","5000","5000","2900","97","97","2900","50","97","5000","5000","No Pobre",51.0915462701878
1393,28,30,7,13,170,2,237,12,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","700","97","97","700","700","700","97","97","700","700","500","97","97","500","9","97","400","700","Pobre",43.1088381850133
1394,28,30,7,13,230,1,237,12,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","Sí","1600","97","97","1600","1600","1600","97","97","1600","1600","1000","97","97","1000","200","97","1600","1600","No Pobre",43.1088381850133
1395,28,30,7,13,151,1,237,12,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","5400","97","97","5400","5400","3900","97","97","3900","3900","2000","97","97","2000",NA,NA,"5400","5400","No Pobre",43.1088381850133
1396,28,30,7,13,52,1,237,12,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","3","No","2500","97","97","2500","2500","2500","97","97","2500","2500","1800","97","97","1800","100","97","2300","2500","No Pobre",43.1088381850133
1397,28,30,3,7,36,1,212,7,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1000","97","97","1000","1000","1000","97","97","1000","1000","700","97","97","700","200","97","1000","1000","Pobre",49.3303033962375
1400,28,30,23,5,292,1,220,6,"Casa",3,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2200","97","97","2200","2200","2200","97","97","2200","2200","1600","97","97","1600","400","97","2200","2200","No Pobre",54.8735271234594
1401,28,30,19,18,135,1,109,7,"Casa",3,3,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","owlsvagen   ","Nafta / Alconafta","200","98","70","213","283","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","5000","97","97","5000","5000",NA,NA,NA,NA,"5000","2500","97","97","2500","160","97","5000","5000","No Pobre",82.804911369206
1403,28,30,23,5,269,1,220,6,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1600","97","97","1600","1600","1600","97","97","1600","1600","1000","97","97","1000","10","97","1600","1600","No Pobre",54.8735271234594
1406,28,30,3,7,137,1,212,7,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3800","97","97","3800","3800","3800","97","97","3800","3800","2000","97","97","2000","40","97","4000","4000","No Pobre",49.3303033962375
1408,28,30,7,5,110,1,224,13,"Casa",2,2,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Nafta / Alconafta","250","98","35","107","392","NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","3500","97","97","3500","3500","3500","97","97","3500","3500","1500","97","97","1500","800","97","3500","3500","No Pobre",62.4729910517083
1409,28,30,7,5,6,1,224,13,"Casa",5,5,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","250","98","40","45","335","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","5000","97","97","5000","5000","4000","97","97","4000","4000","1000","97","97","1000","35","97","5800","5800","No Pobre",62.4729910517083
1410,28,30,7,5,229,1,224,13,"Casa",4,4,0,0,"Si","1","Camioneta","Propio de algún miembro del hogar para uso laboral","mitzubishi  ","Gasoil / Diesel","400","98","13","100","113","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1500","97","97","1500","1500","1500","97","97","1500","1500","1000","97","97","1000","500","97","1500","1500","No Pobre",62.4729910517083
1411,28,30,7,5,36,1,224,13,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1100","97","97","1100","1100","700","97","97","700","700","400","97","97","400","30","97","1300","1300","Pobre",62.4729910517083
1412,28,30,7,5,21,1,224,13,"Casa",2,0,0,2,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","910","97","97","910","910","910","97","97","910","910","500","97","97","500","20","97","910","910","Pobre",62.4729910517083
1413,28,30,7,5,51,1,224,13,"Casa",2,2,0,0,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","ford        ","Gasoil / Diesel","400","98","33","180","513","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","5000","97","97","5000","5000","2500","97","97","2500","2500","1500","97","97","1500","400","97","5000","5000","No Pobre",62.4729910517083
1417,28,30,7,18,155,1,229,13,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2000","97","97","2000","2000","1500","97","97","1500","1500","500","97","97","500","30","97","2000","2000","No Pobre",49.3008636535422
1418,28,30,7,18,190,1,229,13,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","1500","97","97","1500","1500","400","97","97","400","6","97","1500","2500","No Pobre",49.3008636535422
1419,28,30,7,18,101,1,229,13,"Casa",5,5,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Gasoil / Diesel","600","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",49.3008636535422
1420,28,30,7,18,204,1,229,13,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1600","97","97","1600","1600","1600","97","97","1600","1600","1400","97","97","1400","200","97","1600","1600","No Pobre",49.3008636535422
1426,28,30,22,9,74,1,218,9,"Pieza de inquilinato",4,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","1800","97","97","1800","1800",NA,NA,NA,NA,"1200","600","97","97","600","30","97","400","1800","No Pobre",49.2298030511831
1427,28,30,22,9,240,1,218,9,"Casa",2,2,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200","97",NA,NA,"0",49.2298030511831
1428,28,30,22,9,429,1,218,9,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"600","97",NA,NA,"0",49.2298030511831
1431,28,30,22,9,311,1,218,9,"Casa",3,3,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Nafta / Alconafta","250","98","250","250","500","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3000","97","97","3000","3000","2000","97","97","2000","2000","1000","97","97","1000",NA,NA,"3000","3000","No Pobre",49.2298030511831
