"FORMULARIO","Depto","Mun","Fraccion","Radio","Viv","NroHogar","PM","Zon","Tipo_viv","CantidadPersonas","PersonaMayorCuatro","Personas_temporales","CantidadCochera","Hogar_Vehículo","CantidadVehículos","Tipo_vehículo_1","Propiedad_vehículo_1","MarcaVehículo_1","Combustible_1","Gasto_combustible_1","GastoCochera_1","GastoPatente_1","GastoSeguro_1","GastosTotal_1","MarcaVehículo_2","MarcaVehículo_3","HogarMoto","CantidadMotos","HogarCiclomotor","CantidadCiclomotores","HogarBicicleta","CantidadBicicletas","Plan_social","HogarIngresos","RangoIngresos","promedio_ingreso","IngresoT1","IngresoT2","HogarGastoTotal","RangoGastoTotal","promedio_gastototal","GastoT1","GastoT2","HogarGastosAlimentos","RangoGastosAlimentos","promedio_gasto_alimentos","GastoA1","HogarGastosTransporte","RangoGastosTransporte","Ingresoagregado_pers","IngresoTotalFinal","bienestar","FEX"
848,28,30,1,18,127,1,313,10,"Casa",2,2,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","toyota      ","Nafta / Alconafta","300","98","98","250","250","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","10000","97","97","10000","10000","4000","97","97","4000","4000","5000","97","97","5000",NA,NA,"10000","10000","No Pobre",42.858427081728
849,28,30,1,18,163,1,313,10,"Casa",1,1,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","peugeot     ","Nafta / Alconafta","300","98","6","7","13","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",42.858427081728
850,28,30,1,18,151,1,313,10,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1500","97","97","1500","1500","800","97","97","800","800","700","97","97","700",NA,NA,"435","1500","No Pobre",42.858427081728
851,28,30,20,4,81,1,247,17,"Casa",4,4,0,2,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","ford        ","Nafta / Alconafta","400","150","100","100","350","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","4000","97","97","4000","4000","4000","97","97","4000","4000","500","97","97","500",NA,NA,"2000","4000","No Pobre",74.5178820999193
853,28,30,19,19,302,1,139,6,"Casa",4,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","800","97","97","800","800","600","97","97","600","600","300","97","97","300","100","97","800","800","Pobre",79.8359433258762
854,28,30,19,19,7,1,139,6,"Casa",8,8,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","CITROEN     ","Nafta / Alconafta","120","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"Sí","5","Sí","1200","97","97","1200","1200","1200","97","97","1200","1200","1182","97","97","1182","18","97","200","1200","Pobre",79.8359433258762
856,28,30,19,19,87,1,139,6,"Casa",4,2,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Gasoil / Diesel","345","98","98","80","80","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2000","97","97","2000","2000","1500","97","97","1500","1500","1200","97","97","1200",NA,NA,"2000","2000","No Pobre",79.8359433258762
859,28,10,18,6,36,1,153,25,"Casa",6,5,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","1","No","2200","97","97","2200","2200","1600","97","97","1600","1600","1000","97","97","1000","20","97","2450","2450","No Pobre",38.5335187246205
860,28,10,18,6,74,1,153,25,"Casa",7,7,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","ford        ","Nafta / Alconafta","98","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"Sí","3","Sí","3000","97","97","3000","3000","3000","97","97","3000","3000","2500","97","97","2500","50","97","12652","12652","No Pobre",38.5335187246205
862,28,10,18,6,112,1,153,25,"Casa",8,8,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","1700","97","97","1700","1700","1700","97","97","1700","1700","1400","97","97","1400","160","97","2000","2000","No Pobre",38.5335187246205
